"uri","component_id","display_string","iso_language_code","language","acquistions_note"
archives.yale.edu/repositories/11/archival_objects/2404382,P.CtYBR inv. 4791,"Document, Roman-Byzantine (?)",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2401154,P.CtYBR inv. 1656 qua,"Contract, Byzantine CE 420, Oct. 10",grc,"Greek, Ancient (to 1453)","1933 or 1935"
archives.yale.edu/repositories/11/archival_objects/2401424,P.CtYBR inv. 1892,Letter,cop,Coptic,"1965a"
archives.yale.edu/repositories/11/archival_objects/2401807,P.CtYBR inv. 2539,Document,egy,Egyptian (Ancient),"1965a"
archives.yale.edu/repositories/11/archival_objects/2405253,P.CtYBR inv. 6089,"Uncertain genre, Ptolemaic",,,"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2402071,P.CtYBR inv. 3157,"Document, Roman",grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2405283,P.CtYBR inv. 3679(B),"Account, Byzantine CE iv (?) [DM]",grc,"Greek, Ancient (to 1453)","1994a"
archives.yale.edu/repositories/11/archival_objects/2401086,P.CtYBR inv. 1491(A),Document,grc,"Greek, Ancient (to 1453)","1928"
archives.yale.edu/repositories/11/archival_objects/2401531,P.CtYBR inv. 1986,"Document (?), Byzantine",grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2405043,P.CtYBR inv. 5874,Uncertain genre,grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2404502,P.CtYBR inv. 4912,Document,egy,Egyptian (Ancient),"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2401246,P.CtYBR inv. 1617(B) qua,"Document, Roman",grc,"Greek, Ancient (to 1453)","1935"
