uri,original,update,info
/repositories/11/archival_objects/2284912,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2284915,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2284917,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2284924,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2284941,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2284945,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2284961,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2284962,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2284964,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285374,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285371,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2285378,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2284985,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2284989,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285026,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285028,['(4 folders)'],['4 folders'],200
/repositories/11/archival_objects/2285032,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285047,['(9 folders)'],['9 folders'],200
/repositories/11/archival_objects/2285074,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285973,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285984,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285958,['(5 folders)'],['5 folders'],200
/repositories/11/archival_objects/2285969,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2285956,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285442,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285389,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2285393,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285402,['(8 folders)'],['8 folders'],200
/repositories/11/archival_objects/2285083,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285094,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285097,['(4 folders)'],['4 folders'],200
/repositories/11/archival_objects/2285127,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2287450,['(3 boxes)'],['3 boxes'],200
/repositories/11/archival_objects/2285038,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285139,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285157,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285159,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285362,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2285347,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2285349,['(7 folders)'],['7 folders'],200
/repositories/11/archival_objects/2285339,['(2 folders)'],['2 folders'],200
